Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
-28.656582387881855,-196.1303501515276,-231.85018700006898,-134.63467191909288,-249.5178923566545,-192.8029908928973,-214.85429167699635,-121.01605892163879
-34.26765653371693,-194.03103723181184,-232.4379084451388,-128.50976892886484,-232.57551413416533,-190.13535652076686,-219.00098081817407,-121.4632702581911
-29.67843316215268,-195.6161790715566,-232.7414692757577,-129.8092113376332,87.82997920816224,-192.13892311310366,-218.88625804232964,-124.12992106680247
-27.984369714489205,-195.6510944309103,-233.96993779346676,-128.53172618548928,-260.2281883572496,-193.62280182119773,-220.55884413869552,-123.90875510581638
-31.32147258946869,-194.35310124167097,-235.062471566121,-129.9536884673439,-260.62643463084555,-192.3042010604394,-221.46244266646585,-120.77335687444935
-30.515753734259988,-195.44227780969723,-235.4233116343636,-129.00964254955827,-247.47086104719784,-191.88205920934223,-221.34391547100864,-118.35569580136377
-25.283494423608158,-198.3500761185311,-235.01393432573747,-132.08997569669987,60.29453866491611,-201.5639162260256,-220.38753223181033,-116.15137040480744
-26.74425535981065,-197.33272294377826,-234.8310464797726,-131.03854087892245,-257.2956572166878,-194.76463173050553,-217.01085708096699,-111.8381711194249
-27.433729000921048,-197.95443826780286,-234.87223096598728,-131.89677136609762,84.95902912003766,-197.4877425264421,-215.7977063026242,-112.46180051641097
-33.31077298366357,-197.89560905057522,-236.91636185783824,-133.47254943741945,80.53215439745236,-199.63095684961314,-216.34932990049748,-112.49127262414032
-47.64969774709686,-194.60719101517847,-236.8101588430613,-133.43834207765872,80.856382914658,-196.19786155525205,-218.1668109566261,-113.23298266982292
-53.24872634471188,-194.19108984587447,-236.73761162914468,-133.77109809742905,-249.51746640022827,-194.16973639904177,-218.26998762833963,-119.64866149903214
-70.95967368756966,-192.71867874060013,-237.07403963158873,-134.29243498102096,-225.48680154514963,-188.54923785098288,-217.46914126496574,-118.60803032822741
-138.41797672227335,-190.10188659988387,-237.83396933668357,-134.36632783337888,-251.23028069850847,-187.88094074344184,-216.80215102128045,-114.20381484662421
72.84593486690376,-185.07207334840115,-238.72560967264337,-132.37565560356836,55.44510427461672,-184.67742837218998,-217.74818727915186,-112.3916776300636
